10:57:13:895 [ALWAYS]	GUDE Logging Started
10:57:13:895 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:57:13:895 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:57:13:896 [ERROR]	Initialize resume cache pointer failure
10:57:13:896 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:57:13:896 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:57:16:054 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:57:16:055 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:57:16:055 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:57:16:055 [ERROR]	Initialize resume cache pointer failure
10:57:16:055 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:57:16:055 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
